,Entity,Code,Year,Imported Deforestation,Net Traded Deforestation,Population,per Capita Imported Deforestation,per Capita Net Traded Deforestation
0,Afghanistan,AFG,2005,358.92149596180536,356.6246693651805,25654274.0,1.3990709538761665e-05,1.3901179560379706e-05
1,Afghanistan,AFG,2006,104.4663756472638,102.6464757317968,26433058.0,3.95211086236272e-06,3.883261472501471e-06
2,Afghanistan,AFG,2007,157.6413263757118,156.67704024331698,27100542.0,5.816906775359393e-06,5.781324972884933e-06
3,Afghanistan,AFG,2008,270.48644663160246,270.48644663160246,27722281.0,9.757005443801773e-06,9.757005443801773e-06
4,Afghanistan,AFG,2009,583.7729544845712,583.7729544845712,28394806.0,2.055914572843256e-05,2.055914572843256e-05
5,Afghanistan,AFG,2010,1132.6910257886716,1132.6910257886716,29185511.0,3.881004604609018e-05,3.881004604609018e-05
6,Afghanistan,AFG,2011,663.5228874411983,663.5228874411983,30117411.0,2.2031206050254397e-05,2.2031206050254397e-05
7,Afghanistan,AFG,2012,687.7361328842524,687.7361328842524,31161378.0,2.2070145064966394e-05,2.2070145064966394e-05
8,Afghanistan,AFG,2013,652.5734667452028,652.5711055251784,32269592.0,2.0222550900092038e-05,2.0222477728419324e-05
9,Albania,ALB,2005,1224.2247514450737,1185.5533534199276,3086810.0,0.0003965986735319225,0.0003840707246056374
10,Albania,ALB,2006,1222.3040421783985,1192.7558998361576,3063021.0,0.00039905179957251306,0.0003894050676884545
11,Albania,ALB,2007,1556.6877431998214,1531.7300706798744,3033993.0,0.0005130821802159139,0.0005048561650207744
12,Albania,ALB,2008,1210.8637933477976,1189.1510915920544,3002683.0,0.0004032606150392158,0.00039602951480128087
13,Albania,ALB,2009,679.0106664965265,674.4554302094248,2973044.0,0.00022838904049066427,0.00022685686125379403
14,Albania,ALB,2010,519.2463574257345,512.1313540117171,2948029.0,0.00017613339537220782,0.00017371991727751563
15,Albania,ALB,2011,352.39225055737325,346.0120941842915,2928601.0,0.00012032784614816879,0.00011814927816533954
16,Albania,ALB,2012,359.2176150446321,352.01699986035965,2914091.0,0.00012326918241215945,0.0001207982179898842
17,Albania,ALB,2013,273.9640269580851,266.499757225104,2903788.0,9.43471172682321e-05,9.177658879542997e-05
18,Algeria,DZA,2005,17244.309411030055,17239.677663456114,33149720.0,0.0005201947229427596,0.0005200550008704783
19,Algeria,DZA,2006,15153.087645543408,15142.862547312174,33641007.0,0.0004504350195445519,0.00045013107209639037
20,Algeria,DZA,2007,14109.3499962989,14098.74361990599,34166976.0,0.0004129528465234647,0.00041264241880539825
21,Algeria,DZA,2008,15078.898248073649,15064.945573936751,34730604.0,0.0004341674636028112,0.0004337657235657851
22,Algeria,DZA,2009,18066.455748276825,18038.98023391339,35333882.0,0.0005113068456015341,0.0005105292487792139
23,Algeria,DZA,2010,14828.68192168215,14782.037738591474,35977451.0,0.0004121659959089973,0.0004108695120894328
24,Algeria,DZA,2011,16739.51042082115,16726.094778202816,36661438.0,0.00045659721314862635,0.00045623127980421325
25,Algeria,DZA,2012,20090.36237785509,20073.43705429172,37383899.0,0.0005374068225964095,0.0005369540789282499
26,Algeria,DZA,2013,17952.924035519572,17950.332797702176,38140135.0,0.00047070950418816223,0.0004706415642656267
27,Angola,AGO,2005,3868.14692732392,3863.546560549528,19433604.0,0.00019904423941765614,0.00019880751715170938
28,Angola,AGO,2006,5718.385469785557,5713.716229579921,20149905.0,0.00028379218015100105,0.00028356045497881605
29,Angola,AGO,2007,6797.398314346938,6735.064104382793,20905360.0,0.00032515098110469934,0.00032216924771363863
30,Angola,AGO,2008,9297.8917731212,9256.01592010836,21695636.0,0.0004285604613352289,0.0004266303103586528
31,Angola,AGO,2009,5601.757255705292,5571.552175441189,22514275.0,0.0002488091335699369,0.0002474675367268628
32,Angola,AGO,2010,4202.782775863831,4178.190915633371,23356247.0,0.00017994255566246715,0.000178889652761138
33,Angola,AGO,2011,5311.760519934003,5272.762214577699,24220660.0,0.00021930700979799902,0.00021769688417151714
34,Angola,AGO,2012,6231.291229646886,6173.493391496886,25107925.0,0.0002481802550249328,0.0002458782791288761
35,Angola,AGO,2013,5823.8892067475535,5791.469391056773,26015786.0,0.00022385982136951594,0.00022261366199186807
36,Argentina,ARG,2005,2187.940543789998,-132792.12698599623,38892924.0,5.6255491199118844e-05,-0.003414300426113404
37,Argentina,ARG,2006,3501.9475031220936,-138406.47622735897,39289876.0,8.913103984146179e-05,-0.0035227007646285004
38,Argentina,ARG,2007,6071.241915288323,-130740.6388239275,39684303.0,0.00015298849812955825,-0.003294517704492063
39,Argentina,ARG,2008,8054.597083029395,-140158.1874293388,40080159.0,0.00020096220384328804,-0.0034969468915864036
40,Argentina,ARG,2009,4418.672987378057,-173970.37799903375,40482786.0,0.00010914942927539761,-0.0042973914393894174
41,Argentina,ARG,2010,3094.9223659904965,-152541.78768088884,40895751.0,7.567833553149559e-05,-0.0037300155627632034
42,Argentina,ARG,2011,1967.6172665825,-198106.6493025008,41320497.0,4.76184317575488e-05,-0.004794391734990525
43,Argentina,ARG,2012,1831.000114446768,-248202.9460188703,41755188.0,4.3850841108577165e-05,-0.005944242090800077
44,Argentina,ARG,2013,2288.38009757534,-163833.48598738338,42196034.0,5.423211332077655e-05,-0.003882674992331824
45,Armenia,ARM,2005,394.9241922352245,392.20574232820974,2981262.0,0.00013246879752105802,0.0001315569521659652
46,Armenia,ARM,2006,340.7487193876024,336.86866525670496,2958301.0,0.00011518392462011216,0.00011387234269153307
47,Armenia,ARM,2007,354.5662050897795,350.66497271095466,2932615.0,0.0001209044504954723,0.00011957415914156979
48,Armenia,ARM,2008,422.6645452645498,421.25692049559177,2907615.0,0.0001453646873002615,0.00014488057067238674
49,Armenia,ARM,2009,371.654997844516,370.1691930382012,2888094.0,0.000128685215178078,0.00012817075657447477
50,Armenia,ARM,2010,515.9098275516429,513.5747353421419,2877314.0,0.00017930258134900916,0.00017849102855723844
51,Armenia,ARM,2011,385.1147633973085,384.0458332399735,2876536.0,0.00013388143357055446,0.00013350983030978005
52,Armenia,ARM,2012,386.4560568862988,385.74720813413273,2884239.0,0.00013398891592766716,0.0001337431496259959
53,Armenia,ARM,2013,434.5095624817805,433.9042765736386,2897593.0,0.00014995534655204526,0.00014974645389246818
54,Aruba,ABW,2005,945.5230016467336,945.5230016467336,100028.0,0.009452583293145255,0.009452583293145255
55,Aruba,ABW,2006,930.289564243816,930.289564243816,100830.0,0.009226317209598493,0.009226317209598493
56,Aruba,ABW,2007,733.3348643722943,733.3348643722943,101226.0,0.007244530697373148,0.007244530697373148
57,Aruba,ABW,2008,819.2302295396174,819.2302295396174,101362.0,0.00808222242595467,0.00808222242595467
58,Aruba,ABW,2009,247.85487066203257,247.85487066203257,101452.0,0.0024430752539332154,0.0024430752539332154
59,Aruba,ABW,2010,224.03141384201447,224.03141384201447,101665.0,0.002203623802114931,0.002203623802114931
60,Aruba,ABW,2011,148.55131235975176,148.55131235975176,102050.0,0.001455671850659008,0.001455671850659008
61,Aruba,ABW,2012,146.98547463782222,146.98547463782222,102565.0,0.001433095838130183,0.001433095838130183
62,Aruba,ABW,2013,137.89598724919168,137.89598724919168,103165.0,0.001336654749665019,0.001336654749665019
63,Australia,AUS,2005,3405.373393389448,-31662.449018521096,20178543.0,0.00016876210504343392,-0.0015691147283786097
64,Australia,AUS,2006,4388.479080907368,-28580.970258986978,20526300.0,0.00021379786327333072,-0.0013924073144690947
65,Australia,AUS,2007,6257.670050293789,-20445.08179893614,20916339.0,0.00029917616320398083,-0.0009774694222988132
66,Australia,AUS,2008,6108.737875719715,-9997.944998526064,21332293.0,0.00028636105250006246,-0.00046867652710967656
67,Australia,AUS,2009,6370.030394820053,-11911.745983730034,21750852.0,0.00029286348851162485,-0.0005476450294328715
68,Australia,AUS,2010,5273.130649671661,-15258.97102230502,22154687.0,0.0002380142246952828,-0.0006887468562433322
69,Australia,AUS,2011,5131.316341778071,-12292.851164238422,22538002.0,0.00022767396780682113,-0.0005454277253253603
70,Australia,AUS,2012,5286.009406958907,-10031.455414948216,22903951.0,0.00023079028622436832,-0.0004379792558475267
71,Australia,AUS,2013,4361.945171784719,-33257.59509830948,23254912.0,0.00018757091713719314,-0.001430132055468947
72,Austria,AUT,2005,3249.590435925199,3249.590435925199,8253656.0,0.00039371527428877566,0.00039371527428877566
73,Austria,AUT,2006,3189.1081311816138,3189.1081311816138,8285344.0,0.00038490956213545435,0.00038490956213545435
74,Austria,AUT,2007,3124.47690808923,3124.47690808923,8313731.0,0.0003758212658178657,0.0003758212658178657
75,Austria,AUT,2008,2825.24750889466,2825.24750889466,8341525.0,0.00033869676215016555,0.00033869676215016555
76,Austria,AUT,2009,2996.258703601298,2996.258703601298,8372657.0,0.000357862349263955,0.000357862349263955
77,Austria,AUT,2010,2908.5189438873144,2908.5189438873144,8409945.0,0.00034584280205011026,0.00034584280205011026
78,Austria,AUT,2011,3078.8971968295195,3078.8971968295195,8453501.0,0.000364215630521546,0.000364215630521546
79,Austria,AUT,2012,2973.2592103286865,2973.2592103286865,8502230.0,0.0003497034554850535,0.0003497034554850535
80,Austria,AUT,2013,2419.815321901436,2419.815321901436,8556191.0,0.0002828145516972957,0.0002828145516972957
81,Azerbaijan,AZE,2005,506.9372207491136,506.9372207491136,8538610.0,5.9369993564422495e-05,5.9369993564422495e-05
82,Azerbaijan,AZE,2006,565.5611193200065,565.5611193200065,8630153.0,6.55331509557254e-05,6.55331509557254e-05
83,Azerbaijan,AZE,2007,633.0649266170088,633.0649266170088,8724237.0,7.256393041787022e-05,7.256393041787022e-05
84,Azerbaijan,AZE,2008,733.2650190154353,733.2650190154353,8821869.0,8.311901015708069e-05,8.311901015708069e-05
85,Azerbaijan,AZE,2009,719.523197000162,719.523197000162,8924383.0,8.06244193016102e-05,8.06244193016102e-05
86,Azerbaijan,AZE,2010,729.0495624922095,729.0495624922095,9032465.0,8.07143523381723e-05,8.07143523381723e-05
87,Azerbaijan,AZE,2011,761.2058639278591,761.2058639278591,9146277.0,8.322576103127634e-05,8.322576103127634e-05
88,Azerbaijan,AZE,2012,1084.604940867554,1084.604940867554,9264684.0,0.00011706874631315584,0.00011706874631315584
89,Azerbaijan,AZE,2013,903.3685955874996,903.3685955874996,9385467.0,9.625185359316693e-05,9.625185359316693e-05
90,Bahamas,BHS,2005,150.15736740233362,150.15736740233362,324848.0,0.00046223885448681726,0.00046223885448681726
91,Bahamas,BHS,2006,82.48117009638136,82.48117009638136,331032.0,0.0002491637367275108,0.0002491637367275108
92,Bahamas,BHS,2007,120.7914067626192,120.7914067626192,337387.0,0.0003580203349939956,0.0003580203349939956
93,Bahamas,BHS,2008,87.11489384983079,82.8964304629489,343680.0,0.0002534767628312116,0.00024120236982934387
94,Bahamas,BHS,2009,129.12929212529676,123.18015608136048,349600.0,0.000369362963745128,0.00035234598421441787
95,Bahamas,BHS,2010,132.55640610833385,129.75353411914836,354936.0,0.0003734656560854178,0.00036556881837612515
96,Bahamas,BHS,2011,134.79366445147377,133.4948488735901,359583.0,0.00037486105975942624,0.00037124905480400935
97,Bahamas,BHS,2012,190.66443025585804,190.41770572716572,363581.0,0.0005244070241730399,0.0005237284284029301
98,Bahamas,BHS,2013,148.12235770040988,148.01215678148782,367162.0,0.00040342507585319255,0.0004031249333577217
99,Bahrain,BHR,2005,537.082093268796,537.082093268796,889157.0,0.0006040351628214095,0.0006040351628214095
100,Bahrain,BHR,2006,484.15357396891824,484.15357396891824,958423.0,0.0005051564642844738,0.0005051564642844738
101,Bahrain,BHR,2007,487.6440798037008,487.6440798037008,1035924.0,0.00047073345129922735,0.00047073345129922735
