"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020"
"Afghanistan","","","",""
"Albania (Desk study)","","","",""
"Algeria","14.80","14.50","1.40","5.40"
"American Samoa","","","",""
"Andorra","","","",""
"Angola","","","",""
"Anguilla (Desk study)","","","",""
"Antigua and Barbuda (Desk study)","","","",""
"Argentina","213.60","327.40","242.40","134.80"
"Armenia","","","",""
"Aruba (Desk study)","0.00","0.00","0.00","0.00"
"Australia","626.20","632.30","416.84",""
"Austria","3.45","7.79","5.80","5.81"
"Azerbaijan","","","81.64","86.36"
"Bahamas","","","",""
"Bahrain (Desk study)","0.01","0.01","0.00","0.00"
"Bangladesh","7.50","3.20","18.19","0.00"
"Barbados","","","",""
"Belarus","5.80","7.20","4.10","3.50"
"Belgium","","","1.81","1.50"
"Belize","14.07","6.79","11.71","11.16"
"Benin","","","",""
"Bermuda (Desk study)","","","",""
"Bhutan","0.00","0.19","0.34","0.43"
"Bolivia (Plurinational State of)","270.33","200.05","190.69","242.54"
"Bonaire, Sint Eustatius and Saba (Desk study)","","","",""
"Bosnia and Herzegovina (Desk study)","","","",""
"Botswana","","","",""
"Brazil","4254.80","5129.30","1867.80","1695.70"
"British Virgin Islands (Desk study)","","","",""
"Brunei Darussalam","","","",""
"Bulgaria","0.00","0.00","0.00","0.00"
"Burkina Faso","","","",""
"Burundi","8.25","0.00","0.00","0.00"
"Cabo Verde","","2.84","1.90","0.82"
"Cambodia","","","",""
"Cameroon","90.55","71.70","58.00","58.00"
"Canada","54.42","50.45","41.30","37.52"
"Cayman Islands (Desk study)","0.02","0.02","0.00","0.00"
"Central African Republic","30.00","30.00","30.00","30.00"
"Chad","","","",""
"Chile","10.11","14.21","11.27","9.40"
"China","327.54","312.76","329.97","133.20"
"Colombia","229.13","214.33","143.17","199.23"
"Comoros","","","",""
"Congo","12.00","12.00","12.00","13.80"
"Cook Islands","","","",""
"Costa Rica","9.79","2.65","0.00","0.00"
