"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020"
"Afghanistan","","","","","","","","","","0.07","0.07","0.07","","","",""
"Albania (Desk study)","","","","","12.00","15.60","","","0.80","0.80","","","0.40","14.80","",""
"Algeria","14.80","14.50","1.40","5.40","6.00","48.40","9.00","4.00","","","","","","","",""
"American Samoa","","","","","","","","","","","","","","","",""
"Andorra","","","","","","","","0.00","","","","","","","",""
"Angola","","","","","","","","","","","","","","","",""
"Anguilla (Desk study)","","","","","","","","","","","","","","","",""
"Antigua and Barbuda (Desk study)","","","","","","","","","","","","","","","",""
"Argentina","213.60","327.40","242.40","134.80","31.00","11.00","19.00","30.00","23.00","7.00","13.00","21.00","","","",""
"Armenia","","","","","","","","","","","","","","","",""
"Aruba (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","",""
"Australia","626.20","632.30","416.84","","419.39","405.50","1126.52","","45.34","73.12","8.25","","374.05","332.39","1118.26",""
"Austria","3.45","7.79","5.80","5.81","9.70","10.30","9.40","9.40","1.70","0.70","0.30","0.30","8.00","9.60","9.10","9.10"
"Azerbaijan","","","81.64","86.36","5.20","43.25","90.72","100.52","4.80","40.00","86.00","95.52","0.40","3.25","4.72","5.00"
"Bahamas","","","","","","","","","","","","","","","",""
"Bahrain (Desk study)","0.01","0.01","0.00","0.00","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00"
"Bangladesh","7.50","3.20","18.19","0.00","7.50","0.00","17.20","0.00","7.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Barbados","","","","","","","","","","","","","","","",""
"Belarus","5.80","7.20","4.10","3.50","55.04","33.31","24.00","30.32","6.68","6.99","2.82","1.77","42.56","19.12","17.08","25.05"
"Belgium","","","1.81","1.50","","","1.70","1.50","","","1.00","","","","0.70","1.50"
"Belize","14.07","6.79","11.71","11.16","0.00","0.00","0.00","0.00","","","","","","","",""
"Benin","","","","","","","","","","","","","","","",""
"Bermuda (Desk study)","","","","","","","","","","","","","","","",""
"Bhutan","0.00","0.19","0.34","0.43","9.93","10.12","2.32","2.41","0.02","0.16","0.20","0.20","9.91","9.96","2.12","2.21"
"Bolivia (Plurinational State of)","270.33","200.05","190.69","242.54","0.00","-1.49","-21.07","3.85","","","","","","","",""
"Bonaire, Sint Eustatius and Saba (Desk study)","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina (Desk study)","","","","","","","","","","0.86","0.46","0.42","","","",""
"Botswana","","","","","","","","","","","","","","","",""
"Brazil","4254.80","5129.30","1867.80","1695.70","473.86","1178.51","328.62","242.66","","","","","","","",""
"British Virgin Islands (Desk study)","","","","","","","","","","","","","","","",""
"Brunei Darussalam","","","","","","","","","","","","","","","",""
"Bulgaria","0.00","0.00","0.00","0.00","4.80","36.20","19.20","12.00","2.90","2.94","0.40","0.10","1.90","33.26","18.80","11.90"
"Burkina Faso","","","","","","","","","","","","","","","",""
"Burundi","8.25","0.00","0.00","0.00","0.00","0.00","17.14","0.00","0.00","0.00","17.14","0.00","0.00","0.00","0.00","0.00"
"Cabo Verde","","2.84","1.90","0.82","","3.14","2.20","1.12","","3.14","2.20","1.12","","","",""
