"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Afghanistan","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Albania (Desk study)","","","711.68","","","","","","","","","70.39","","","","","","","","","70.39","","","","","","","","","","","","","","","","","","0.00","","","","","",""
"Algeria","1334.00","1234.00","1420.00","1400.00","1435.00","1437.00","1502.00","1438.00","1439.00","333.00","345.00","498.00","556.00","521.00","506.00","428.00","501.00","510.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","333.00","345.00","498.00","556.00","521.00","506.00","428.00","501.00","510.00"
"American Samoa","18.07","17.73","17.43","17.28","17.25","17.22","17.19","17.16","17.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Andorra","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Angola","78302.22","76766.88","71283.53","68541.86","67993.53","67445.19","66896.86","66348.52","65800.19","960.56","941.73","874.46","840.83","834.10","827.38","820.65","813.92","807.20","960.56","941.73","874.46","840.83","834.10","827.38","820.65","813.92","807.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Anguilla (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","34438.00","32302.00","29027.00","27812.00","27695.00","27555.00","27416.00","27276.00","27137.00","766.00","1076.00","1187.00","1285.00","1315.00","1344.00","1375.00","1405.00","1436.00","766.00","1076.00","1187.00","1285.00","1315.00","1344.00","1375.00","1405.00","1436.00","751.00","1054.00","1163.00","1259.00","1289.00","1317.00","1347.00","1377.00","1407.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Armenia","321.00","322.00","310.00","310.00","310.00","310.00","310.00","310.00","310.00","13.73","10.64","20.56","19.52","19.31","19.10","18.89","18.68","18.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.73","10.64","20.56","19.52","19.31","19.10","18.89","18.68","18.47"
"Aruba (Desk study)","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","132859.30","130329.40","127378.20","130676.70","131614.80","131614.80","131614.80","131614.80","131614.80","1022.90","1484.70","2167.90","2417.80","2422.40","2402.60","2390.30","2390.30","2390.30","1022.90","1484.70","2008.90","1973.40","1974.80","1955.00","1942.70","1942.70","1942.70","926.44","972.18","1023.53","1035.44","1036.77","1036.93","1037.01","1037.01","1037.01","","","159.00","444.40","447.60","447.60","447.60","447.60","447.60"
"Austria","2036.60","2154.30","2183.70","2206.50","2210.70","2214.90","2219.10","2223.30","2227.50","1739.40","1683.70","1679.30","1674.50","1673.90","1673.30","1672.70","1672.10","1671.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1739.40","1683.70","1679.30","1674.50","1673.90","1673.30","1672.70","1672.10","1671.50"
