,Entity,Code,Year,Imported Deforestation
0,Afghanistan,AFG,2005,358.92149596180536
1,Afghanistan,AFG,2006,104.4663756472638
2,Afghanistan,AFG,2007,157.6413263757118
3,Afghanistan,AFG,2008,270.48644663160246
4,Afghanistan,AFG,2009,583.7729544845712
5,Afghanistan,AFG,2010,1132.6910257886716
6,Afghanistan,AFG,2011,663.5228874411983
7,Afghanistan,AFG,2012,687.7361328842524
8,Afghanistan,AFG,2013,652.5734667452028
9,Albania,ALB,2005,1224.2247514450737
10,Albania,ALB,2006,1222.3040421783985
11,Albania,ALB,2007,1556.6877431998214
12,Albania,ALB,2008,1210.8637933477976
13,Albania,ALB,2009,679.0106664965265
14,Albania,ALB,2010,519.2463574257345
15,Albania,ALB,2011,352.39225055737325
16,Albania,ALB,2012,359.2176150446321
17,Albania,ALB,2013,273.9640269580851
18,Algeria,DZA,2005,17244.309411030055
19,Algeria,DZA,2006,15153.087645543408
20,Algeria,DZA,2007,14109.3499962989
21,Algeria,DZA,2008,15078.898248073649
22,Algeria,DZA,2009,18066.455748276825
23,Algeria,DZA,2010,14828.68192168215
24,Algeria,DZA,2011,16739.51042082115
25,Algeria,DZA,2012,20090.36237785509
26,Algeria,DZA,2013,17952.924035519572
27,Angola,AGO,2005,3868.14692732392
28,Angola,AGO,2006,5718.385469785557
29,Angola,AGO,2007,6797.398314346938
30,Angola,AGO,2008,9297.8917731212
31,Angola,AGO,2009,5601.757255705292
32,Angola,AGO,2010,4202.782775863831
33,Angola,AGO,2011,5311.760519934003
34,Angola,AGO,2012,6231.291229646886
35,Angola,AGO,2013,5823.8892067475535
36,Argentina,ARG,2005,2187.940543789998
37,Argentina,ARG,2006,3501.9475031220936
38,Argentina,ARG,2007,6071.241915288323
39,Argentina,ARG,2008,8054.597083029395
40,Argentina,ARG,2009,4418.672987378057
41,Argentina,ARG,2010,3094.9223659904965
42,Argentina,ARG,2011,1967.6172665825
43,Argentina,ARG,2012,1831.000114446768
44,Argentina,ARG,2013,2288.38009757534
45,Armenia,ARM,2005,394.9241922352245
46,Armenia,ARM,2006,340.7487193876024
47,Armenia,ARM,2007,354.5662050897795
48,Armenia,ARM,2008,422.6645452645498
49,Armenia,ARM,2009,371.654997844516
50,Armenia,ARM,2010,515.9098275516429
51,Armenia,ARM,2011,385.1147633973085
52,Armenia,ARM,2012,386.4560568862988
53,Armenia,ARM,2013,434.5095624817805
54,Aruba,ABW,2005,945.5230016467336
55,Aruba,ABW,2006,930.289564243816
56,Aruba,ABW,2007,733.3348643722943
57,Aruba,ABW,2008,819.2302295396174
58,Aruba,ABW,2009,247.85487066203257
59,Aruba,ABW,2010,224.03141384201447
60,Aruba,ABW,2011,148.55131235975176
61,Aruba,ABW,2012,146.98547463782222
62,Aruba,ABW,2013,137.89598724919168
63,Australia,AUS,2005,3405.3733933894478
64,Australia,AUS,2006,4388.479080907368
65,Australia,AUS,2007,6257.670050293789
66,Australia,AUS,2008,6108.737875719715
67,Australia,AUS,2009,6370.030394820053
68,Australia,AUS,2010,5273.130649671661
69,Australia,AUS,2011,5131.316341778071
70,Australia,AUS,2012,5286.009406958907
71,Australia,AUS,2013,4361.945171784719
72,Austria,AUT,2005,3249.590435925199
73,Austria,AUT,2006,3189.1081311816138
74,Austria,AUT,2007,3124.47690808923
75,Austria,AUT,2008,2825.24750889466
76,Austria,AUT,2009,2996.258703601298
77,Austria,AUT,2010,2908.5189438873144
78,Austria,AUT,2011,3078.8971968295195
79,Austria,AUT,2012,2973.2592103286865
80,Austria,AUT,2013,2419.815321901436
81,Azerbaijan,AZE,2005,506.9372207491136
82,Azerbaijan,AZE,2006,565.5611193200065
83,Azerbaijan,AZE,2007,633.0649266170088
84,Azerbaijan,AZE,2008,733.2650190154353
85,Azerbaijan,AZE,2009,719.523197000162
86,Azerbaijan,AZE,2010,729.0495624922095
87,Azerbaijan,AZE,2011,761.2058639278591
88,Azerbaijan,AZE,2012,1084.604940867554
89,Azerbaijan,AZE,2013,903.3685955874996
90,Bahamas,BHS,2005,150.15736740233362
91,Bahamas,BHS,2006,82.48117009638136
92,Bahamas,BHS,2007,120.7914067626192
93,Bahamas,BHS,2008,87.11489384983079
94,Bahamas,BHS,2009,129.12929212529676
95,Bahamas,BHS,2010,132.55640610833385
96,Bahamas,BHS,2011,134.79366445147377
97,Bahamas,BHS,2012,190.66443025585804
98,Bahamas,BHS,2013,148.12235770040988
99,Bahrain,BHR,2005,537.082093268796
100,Bahrain,BHR,2006,484.15357396891824
101,Bahrain,BHR,2007,487.6440798037008
102,Bahrain,BHR,2008,408.0077854089194
103,Bahrain,BHR,2009,490.92598594549736
104,Bahrain,BHR,2010,1559.5505155840424
105,Bahrain,BHR,2011,889.320076310925
106,Bahrain,BHR,2012,970.2994831285351
107,Bahrain,BHR,2013,755.1940543340071
108,Bangladesh,BGD,2005,7354.45848025103
109,Bangladesh,BGD,2006,15567.484732681209
110,Bangladesh,BGD,2007,21544.34059283081
111,Bangladesh,BGD,2008,11525.282114780131
112,Bangladesh,BGD,2009,18154.293007780296
113,Bangladesh,BGD,2010,16532.266436400583
114,Bangladesh,BGD,2011,19291.72258444186
115,Bangladesh,BGD,2012,17006.658520173845
116,Bangladesh,BGD,2013,15269.22705058326
117,Barbados,BRB,2005,154.87637626218122
118,Barbados,BRB,2006,118.51849437926892
119,Barbados,BRB,2007,158.23714404279482
120,Barbados,BRB,2008,120.37928585160417
121,Barbados,BRB,2009,155.73489330495516
122,Barbados,BRB,2010,141.95689264491932
123,Barbados,BRB,2011,197.7968017188659
124,Barbados,BRB,2012,112.17605872342428
125,Barbados,BRB,2013,155.3028102909633
126,Belarus,BLR,2005,897.0999102038485
127,Belarus,BLR,2006,1041.260443768123
128,Belarus,BLR,2007,812.6171200315501
129,Belarus,BLR,2008,1015.1251065876716
130,Belarus,BLR,2009,1078.2592240400238
131,Belarus,BLR,2010,965.3895528824098
132,Belarus,BLR,2011,1293.240316656072
133,Belarus,BLR,2012,1719.3441451542033
134,Belarus,BLR,2013,1062.036103906374
135,Belgium,BEL,2005,12588.616692041902
136,Belgium,BEL,2006,15538.825245090842
137,Belgium,BEL,2007,13476.1546803797
138,Belgium,BEL,2008,13660.343421195355
139,Belgium,BEL,2009,14655.204786694025
140,Belgium,BEL,2010,11481.467259347151
141,Belgium,BEL,2011,11437.457491538667
142,Belgium,BEL,2012,10251.305417852986
143,Belgium,BEL,2013,8520.40599977923
144,Belize,BLZ,2005,67.15953695765609
145,Belize,BLZ,2006,64.86364303736889
146,Belize,BLZ,2007,69.0383898280084
147,Belize,BLZ,2008,43.04530645567411
148,Belize,BLZ,2009,36.89841295231656
149,Belize,BLZ,2010,47.13688792729067
150,Belize,BLZ,2011,56.15154993622491
151,Belize,BLZ,2012,49.08627890569551
152,Belize,BLZ,2013,54.58252074349491
153,Benin,BEN,2005,516.5904471825684
154,Benin,BEN,2006,1204.8317036383196
155,Benin,BEN,2007,1211.4338021787055
156,Benin,BEN,2008,1716.5418591457556
157,Benin,BEN,2009,1652.631238903552
158,Benin,BEN,2010,1629.9588259044883
159,Benin,BEN,2011,2879.523165788338
160,Benin,BEN,2012,1335.191194703656
161,Benin,BEN,2013,1268.3379013569906
162,Bermuda,BMU,2005,48.13399357728148
163,Bermuda,BMU,2006,42.08651838891179
164,Bermuda,BMU,2007,30.410989862161337
165,Bermuda,BMU,2008,24.458130278476933
166,Bermuda,BMU,2009,20.234669614114456
167,Bermuda,BMU,2010,19.97422417106444
168,Bermuda,BMU,2011,14.730552020380609
169,Bermuda,BMU,2012,14.334305986870255
170,Bermuda,BMU,2013,16.248051428864517
171,Bhutan,BTN,2005,9.734234613820265
172,Bhutan,BTN,2006,1.0217080023040808
173,Bhutan,BTN,2007,3.0960761650859467
174,Bhutan,BTN,2008,7.746569417334967
175,Bhutan,BTN,2009,9.258965296241172
176,Bhutan,BTN,2010,23.18623648408953
177,Bhutan,BTN,2011,12.67132797323245
178,Bhutan,BTN,2012,23.36502153282197
179,Bhutan,BTN,2013,3.883613041274941
180,Bosnia and Herzegovina,BIH,2005,835.4043657458707
181,Bosnia and Herzegovina,BIH,2006,1034.2814581774342
182,Bosnia and Herzegovina,BIH,2007,927.4697520673238
183,Bosnia and Herzegovina,BIH,2008,888.0966309760327
184,Bosnia and Herzegovina,BIH,2009,706.1314863358123
185,Bosnia and Herzegovina,BIH,2010,561.1491182849487
186,Bosnia and Herzegovina,BIH,2011,481.3237411861324
187,Bosnia and Herzegovina,BIH,2012,551.6481902118034
188,Bosnia and Herzegovina,BIH,2013,533.1941440209536
189,Botswana,BWA,2005,31.88795927802103
190,Botswana,BWA,2006,42.29031921260594
191,Botswana,BWA,2007,416.9900840125669
192,Botswana,BWA,2008,357.1755042613662
193,Botswana,BWA,2009,560.3536455502403
194,Botswana,BWA,2010,776.2450900399164
195,Botswana,BWA,2011,435.7265599462796
196,Botswana,BWA,2012,1227.523235680069
197,Botswana,BWA,2013,973.4923123361172
198,Brazil,BRA,2005,15707.33144164062
199,Brazil,BRA,2006,15199.871825420996
200,Brazil,BRA,2007,20101.836007149657
201,Brazil,BRA,2008,26418.938199674245
202,Brazil,BRA,2009,41847.563762230566
203,Brazil,BRA,2010,39587.72144783312
204,Brazil,BRA,2011,38832.59675729904
205,Brazil,BRA,2012,49334.82538843574
206,Brazil,BRA,2013,37769.96781122242
207,Brunei,BRN,2005,135.01101105325858
208,Brunei,BRN,2006,204.49669613847956
209,Brunei,BRN,2007,176.93956013123525
210,Brunei,BRN,2008,140.93552586536396
211,Brunei,BRN,2009,176.36624461349356
212,Brunei,BRN,2010,168.40914232041916
213,Brunei,BRN,2011,180.4652298997005
214,Brunei,BRN,2012,215.63773706112363
215,Brunei,BRN,2013,257.15585704290254
216,Bulgaria,BGR,2005,9578.184352500182
217,Bulgaria,BGR,2006,10710.997790877427
218,Bulgaria,BGR,2007,1363.9428158036278
219,Bulgaria,BGR,2008,1401.0656743337374
220,Bulgaria,BGR,2009,1651.106294732525
221,Bulgaria,BGR,2010,1455.3684041551248
222,Bulgaria,BGR,2011,1476.3830061993588
223,Bulgaria,BGR,2012,1481.1377273225226
224,Bulgaria,BGR,2013,1423.7521503901348
225,Burkina Faso,BFA,2005,149.52099836106134
226,Burkina Faso,BFA,2006,188.66265768793983
227,Burkina Faso,BFA,2007,171.72230133122483
228,Burkina Faso,BFA,2008,130.84336364994513
229,Burkina Faso,BFA,2009,610.2074610244927
230,Burkina Faso,BFA,2010,522.8580369972788
231,Burkina Faso,BFA,2011,587.5443246120251
232,Burkina Faso,BFA,2012,466.0123636572888
233,Burkina Faso,BFA,2013,614.6232232849583
234,Burundi,BDI,2005,79.49272873600057
235,Burundi,BDI,2006,146.6016467034018
236,Burundi,BDI,2007,162.45375002290984
237,Burundi,BDI,2008,117.44307263441648
238,Burundi,BDI,2009,176.6651556464351
239,Burundi,BDI,2010,166.24369560065816
240,Burundi,BDI,2011,152.43757531623828
241,Burundi,BDI,2012,576.5577394946724
242,Burundi,BDI,2013,227.82478018363167
243,Cambodia,KHM,2005,292.0745146947811
244,Cambodia,KHM,2006,457.0806251560716
245,Cambodia,KHM,2007,469.8645259249315
246,Cambodia,KHM,2008,434.3938443877196
247,Cambodia,KHM,2009,625.3823268303604
248,Cambodia,KHM,2010,514.1720320232307
249,Cambodia,KHM,2011,623.1864933505021
250,Cambodia,KHM,2012,676.2241514873094
251,Cambodia,KHM,2013,562.7681927440717
252,Cameroon,CMR,2005,501.61799204972885
253,Cameroon,CMR,2006,512.1021447841777
254,Cameroon,CMR,2007,383.7923056978325
255,Cameroon,CMR,2008,579.2048717812431
256,Cameroon,CMR,2009,1094.8259100092728
257,Cameroon,CMR,2010,895.43789712125
258,Cameroon,CMR,2011,959.3042870108112
259,Cameroon,CMR,2012,1125.977857532078
260,Cameroon,CMR,2013,863.937488247142
261,Canada,CAN,2005,5387.216305163992
262,Canada,CAN,2006,5533.022948961417
263,Canada,CAN,2007,6331.469014438771
264,Canada,CAN,2008,5030.494172099739
265,Canada,CAN,2009,5503.007116610943
266,Canada,CAN,2010,6050.570249285576
267,Canada,CAN,2011,5542.45849958118
268,Canada,CAN,2012,5744.721993414849
269,Canada,CAN,2013,5401.245027811636
270,Cape Verde,CPV,2005,169.23590589098393
271,Cape Verde,CPV,2006,224.5620265392368
272,Cape Verde,CPV,2007,234.88271077893643
273,Cape Verde,CPV,2008,230.85490102024
274,Cape Verde,CPV,2009,192.1516134647804
275,Cape Verde,CPV,2010,201.13324885245464
276,Cape Verde,CPV,2011,206.31682173185027
277,Cape Verde,CPV,2012,225.29909264433152
278,Cape Verde,CPV,2013,279.16790893541054
279,Cayman Islands,CYM,2005,5123.366656466503
280,Cayman Islands,CYM,2006,6627.429200334626
281,Cayman Islands,CYM,2007,4493.96286534038
282,Cayman Islands,CYM,2008,743.636878186115
283,Cayman Islands,CYM,2009,1747.079022296159
284,Cayman Islands,CYM,2010,25.41865991569353
