,Entity,Code,Year,Net_traded_Deforestation
0,Afghanistan,AFG,2005,356.6246693651805
1,Afghanistan,AFG,2006,102.6464757317968
2,Afghanistan,AFG,2007,156.67704024331698
3,Afghanistan,AFG,2008,270.48644663160246
4,Afghanistan,AFG,2009,583.7729544845712
5,Afghanistan,AFG,2010,1132.6910257886716
6,Afghanistan,AFG,2011,663.5228874411983
7,Afghanistan,AFG,2012,687.7361328842524
8,Afghanistan,AFG,2013,652.5711055251784
9,Albania,ALB,2005,1185.5533534199276
10,Albania,ALB,2006,1192.7558998361576
11,Albania,ALB,2007,1531.7300706798744
12,Albania,ALB,2008,1189.1510915920544
13,Albania,ALB,2009,674.4554302094248
14,Albania,ALB,2010,512.1313540117171
15,Albania,ALB,2011,346.0120941842915
16,Albania,ALB,2012,352.01699986035965
17,Albania,ALB,2013,266.499757225104
18,Algeria,DZA,2005,17239.677663456114
19,Algeria,DZA,2006,15142.862547312174
20,Algeria,DZA,2007,14098.74361990599
21,Algeria,DZA,2008,15064.945573936751
22,Algeria,DZA,2009,18038.98023391339
23,Algeria,DZA,2010,14782.037738591474
24,Algeria,DZA,2011,16726.094778202816
25,Algeria,DZA,2012,20073.43705429172
26,Algeria,DZA,2013,17950.332797702176
27,Angola,AGO,2005,3863.5465605495274
28,Angola,AGO,2006,5713.716229579921
29,Angola,AGO,2007,6735.064104382793
30,Angola,AGO,2008,9256.01592010836
31,Angola,AGO,2009,5571.552175441189
32,Angola,AGO,2010,4178.190915633371
33,Angola,AGO,2011,5272.762214577699
34,Angola,AGO,2012,6173.493391496886
35,Angola,AGO,2013,5791.469391056773
36,Argentina,ARG,2005,-132792.12698599623
37,Argentina,ARG,2006,-138406.47622735897
38,Argentina,ARG,2007,-130740.6388239275
39,Argentina,ARG,2008,-140158.1874293388
40,Argentina,ARG,2009,-173970.37799903375
41,Argentina,ARG,2010,-152541.78768088884
42,Argentina,ARG,2011,-198106.64930250077
43,Argentina,ARG,2012,-248202.9460188703
44,Argentina,ARG,2013,-163833.48598738338
45,Armenia,ARM,2005,392.20574232820974
46,Armenia,ARM,2006,336.86866525670496
47,Armenia,ARM,2007,350.66497271095466
48,Armenia,ARM,2008,421.25692049559177
