,Entity,1990-2000_Deforestation(1000ha/year),2000-2010_Deforestation(1000ha/year),2010-2015_Deforestation(1000ha/year),2015-2020_Deforestation(1000ha/year)
3,Algeria,14.80,14.50,1.40,5.40
9,Argentina,213.60,327.40,242.40,134.80
11,Aruba (Desk study),0.00,0.00,0.00,0.00
13,Austria,3.45,7.79,5.80,5.81
16,Bahrain (Desk study),0.01,0.01,0.00,0.00
17,Bangladesh,7.50,3.20,18.19,0.00
19,Belarus,5.80,7.20,4.10,3.50
21,Belize,14.07,6.79,11.71,11.16
24,Bhutan,0.00,0.19,0.34,0.43
25,Bolivia (Plurinational State of),270.33,200.05,190.69,242.54
29,Brazil,4254.80,5129.30,1867.80,1695.70
32,Bulgaria,0.00,0.00,0.00,0.00
34,Burundi,8.25,0.00,0.00,0.00
37,Cameroon,90.55,71.70,58.00,58.00
38,Canada,54.42,50.45,41.30,37.52
39,Cayman Islands (Desk study),0.02,0.02,0.00,0.00
40,Central African Republic,30.00,30.00,30.00,30.00
42,Chile,10.11,14.21,11.27,9.40
43,China,327.54,312.76,329.97,133.20
44,Colombia,229.13,214.33,143.17,199.23
46,Congo,12.00,12.00,12.00,13.80
48,Costa Rica,9.79,2.65,0.00,0.00
50,Croatia,0.04,0.33,0.09,0.05
51,Cuba,0.00,0.00,0.00,0.00
55,Democratic People's Republic of Korea (Desk study),47.70,23.19,23.19,23.19
57,Denmark,0.03,0.18,0.26,0.62
58,Djibouti,0.00,0.00,0.00,0.16
61,Ecuador,129.94,105.08,96.13,87.22
63,El Salvador,4.50,4.50,4.50,4.50
66,Estonia,0.19,6.34,11.23,5.01
68,Ethiopia,92.00,92.00,92.00,92.00
69,Falkland Islands (Malvinas) (Desk study),0.00,0.00,0.00,0.00
70,Faroe Islands,0.00,0.00,0.00,0.00
74,French Guyana,5.56,5.54,5.65,5.78
76,Gabon,10.24,14.74,19.25,19.25
78,Georgia,0.00,0.00,0.00,0.00
79,Germany,6.80,5.83,7.00,7.00
81,Gibraltar (Desk study),0.00,0.00,0.00,0.00
83,Greenland,0.00,0.00,0.00,0.00
85,Guadeloupe,0.25,0.18,0.26,0.25
87,Guatemala,57.20,48.66,27.36,11.60
91,Guyana,3.79,4.44,11.69,9.20
93,Holy See (Desk study),0.00,0.00,0.00,0.00
94,Honduras,23.30,22.81,24.40,23.19
95,Hungary,0.83,1.43,1.55,3.14
96,Iceland,0.00,0.00,0.00,0.00
97,India,384.00,629.50,668.40,668.40
100,Iraq,0.00,0.00,0.00,0.00
101,Ireland,0.62,0.62,0.62,0.62
102,Isle of Man (Desk study),0.00,0.00,0.00,0.00
105,Jamaica,0.89,0.68,0.62,0.54
107,Jersey (Desk study),0.00,0.00,0.00,0.00
112,Kuwait (Desk study),0.00,0.00,0.00,0.00
113,Kyrgyzstan,0.00,0.00,0.00,0.00
115,Latvia,0.00,0.40,0.31,0.36
118,Liberia,30.26,30.26,30.26,30.26
120,Liechtenstein,0.21,0.21,0.21,0.21
124,Malawi,42.00,42.00,42.00,42.00
126,Maldives,0.00,0.00,0.00,0.00
127,Mali,84.00,109.00,79.00,0.00
130,Martinique,0.08,0.14,0.16,0.16
131,Mauritania,37.72,40.44,42.79,45.38
132,Mauritius,0.01,0.36,0.10,0.12
133,Mayotte,0.37,0.21,0.06,0.06
134,Mexico,685.81,424.85,211.61,165.82
136,Monaco (Desk study),0.00,0.00,0.00,0.00
137,Mongolia,9.06,8.25,1.52,1.52
140,Morocco,0.78,1.08,8.72,0.00
141,Mozambique,219.00,267.03,267.03,267.03
142,Myanmar,435.00,370.15,309.87,293.92
144,Nauru (Desk study),0.00,0.00,0.00,0.00
145,Nepal,0.12,1.87,0.00,0.00
146,Netherlands,1.14,2.60,4.52,2.19
148,New Zealand,15.48,18.03,8.61,6.58
149,Nicaragua,100.20,122.49,61.15,105.03
150,Niger,64.19,14.92,14.92,14.92
151,Nigeria,163.31,163.31,163.31,163.31
156,Norway,4.92,6.50,5.98,5.82
161,Panama,18.95,13.73,12.52,12.49
162,Papua New Guinea,12.17,9.91,30.90,33.53
163,Paraguay,255.42,342.14,414.25,279.34
164,Peru,160.28,150.28,188.50,179.09
167,Poland,0.51,0.58,0.62,0.77
170,Qatar (Desk study),0.00,0.00,0.00,0.00
171,Republic of Korea,7.50,8.90,10.00,10.00
172,Republic of Moldova,0.88,1.80,0.93,0.34
173,Réunion,0.00,0.00,0.00,0.00
175,Russian Federation,0.00,0.00,41.03,0.00
185,San Marino (Desk study),0.00,0.00,0.00,0.00
186,Sao Tome and Principe,0.03,0.03,0.62,0.62
189,Serbia,0.00,0.00,0.09,0.04
192,Singapore,0.28,0.14,0.30,0.24
195,Slovenia,0.00,0.38,0.30,2.03
197,Somalia,76.75,76.75,76.75,76.75
198,South Africa,399.00,399.00,199.00,199.00
202,Sudan,403.73,381.70,272.54,264.00
203,Suriname,3.68,4.11,9.86,11.65
204,Svalbard and Jan Mayen Islands,0.00,0.00,0.00,0.00
205,Sweden,11.49,20.82,38.15,13.05
206,Switzerland,1.16,1.05,1.34,1.34
209,Thailand,63.00,18.00,94.40,37.60
211,Togo,10.32,4.46,4.96,4.96
212,Tokelau (Desk study),0.00,0.00,0.00,0.00
215,Tunisia,4.32,4.34,1.42,0.57
216,Turkey,2.22,1.38,1.03,1.17
220,Uganda,51.09,51.09,51.09,51.09
221,Ukraine,0.50,1.03,0.40,0.10
224,United Republic of Tanzania,400.00,400.00,372.00,474.00
228,Uzbekistan,0.79,5.00,1.04,14.15
230,Venezuela (Bolivarian Republic of),303.85,183.99,182.27,108.29
231,Viet Nam,0.00,0.00,25.86,1.59
236,Zimbabwe,46.07,46.07,46.07,46.07
